Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Exports of goods and services (constant 2015 US$) [NE.EXP.GNFS.KD],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Net official aid received (constant 2018 US$) [DT.ODA.OATL.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Net investment in nonfinancial assets (% of GDP) [GC.NFN.TOTL.GD.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
2000,"Iran, Islamic Rep.",4.482692788,3888.050977,71571431339,,32.62411613,,70.176,4.38254986,0.03558663405,24.97250817
2000,Kenya,-2.125154281,1002.374863,4867311581,,3.313967549,,50.921,,0.8728959722,6.079848488
2000,Kiribati,4.442346425,1553.055636,,,0.02958428475,,63.144,,1.073257195,2.034084662
2000,"Korea, Dem. People's Rep.",,,,,,,65.268,,,
2000,Kyrgyz Republic,4.194824155,718.3373488,1751026760,,4.101786691,,68.55853659,,-0.172311074,27.16173805
2000,Lao PDR,4.042749821,933.4201951,1815424030,,4.024261806,,58.803,,1.9576039,24.79777661
2000,Lesotho,3.207521586,715.0085118,293295495.8,,3.459860588,,47.691,,3.651798841,6.300218213
2000,Liberia,,763.6653646,440670154.5,,17.84095468,,51.734,,2.3798627,
2000,Madagascar,1.248436347,487.6602468,1636188750,,3.283340734,,58.485,,1.791923807,11.57035297
2000,Malawi,-1.106432364,294.3439181,,,10.0707693,,45.09,,1.491247431,30.53395149
2000,Mali,-2.831837576,571.6576875,1653862980,,5.477281947,,48.069,8.545300889,2.032148857,-0.6197279204
2000,Mauritania,-6.425193208,1296.321815,1052182466,,1.243461025,,60.706,,2.253187637,6.351586758
2000,"Micronesia, Fed. Sts.",5.189190234,2894.64294,,,0.007464105819,,64.55,,,1.07890621
2000,Mongolia,0.2521067212,1610.010208,,78.41832771,5.208002667,,62.869,2.198336245,4.723122798,11.99969139
2000,Morocco,0.6672216691,1976.091443,15849593577,,0.3037569801,,68.684,,1.097744357,-0.7422881899
2000,Mozambique,-1.491739913,294.6469084,625760170,,6.212129673,,48.946,,2.462665055,11.49754484
2000,Myanmar,12.43457417,293.2675037,,,7.088112045,,60.063,,5.467529912,2.461773988
2000,Nepal,4.287565074,562.3031305,,64.57331984,1.167019951,,62.288,,-0.008824252945,4.472433713
2000,Nicaragua,2.494285145,1444.947695,1736119103,,1.354008754,,69.527,4.626781713,5.217991628,8.56622846
2000,Niger,-4.710071937,399.1432638,609359769.6,,7.286921459,,49.928,,0.7033429429,3.178393703
2000,Nigeria,2.419132598,1450.783839,22322698524,,23.37597933,,46.267,,1.641739329,22.6737374
2000,Pakistan,1.53612336,1029.112585,15168445230,66.75250207,1.236965182,,62.82,1.60352812,0.3755284981,38.51198619
2000,Papua New Guinea,-4.68626066,1883.933898,,57.74153126,25.29838804,,59.265,0.2283941741,2.740303139,13.10241804
